interval_from,10_anomaly,10_mean,10_std,15_anomaly,15_mean,15_std,1_anomaly,1_mean,1_std,9_anomaly,9_mean,9_std,total_anomaly,total_mean,total_std
2014-10-13 00:00:00+00:00,False,-16.907264944620433,2.332228106260692,False,-19.600748081812366,2.641201390527795,False,-15.522763441916345,2.0223445942647174,False,-16.88193238499729,2.034103180566097,False,-17.3638856383509,2.257469311639586
2014-10-20 00:00:00+00:00,True,-16.8997963825527,2.333229993765942,False,-17.28285679924943,2.6419918147649213,True,-14.879322526434583,2.02408936876223,False,-16.45896717013951,2.03544978981164,True,-15.847689618166854,2.258690235550128
2014-11-25 00:00:00+00:00,False,-17.251573615284958,2.3383825580786572,True,-15.352414815119296,2.6460568536987124,False,-14.993036072341242,2.033062494749439,True,-15.116673744956021,2.042375208788717,False,-16.29595221256058,2.264969272804343
2015-01-05 00:00:00+00:00,False,-17.682229963082758,2.344250756323694,True,-19.074957339560296,2.650686481373308,False,-15.441531637633288,2.043281888234871,False,-18.379614590081548,2.0502624915126098,False,-17.422621215106307,2.272120398566088
2015-01-12 00:00:00+00:00,True,-17.911398746211663,2.3452526438289443,False,-18.17257008690872,2.6514769056104344,True,-15.80243678030768,2.045026662732384,True,-20.167598477871994,2.0516091007581525,True,-17.94164441937828,2.2733413224766297
2015-01-29 00:00:00+00:00,False,-17.75453980594723,2.3476857991988376,False,-17.090563065460614,2.653396507329169,False,-15.761583101137534,2.0492639722263437,False,-16.29963299238107,2.054879437497328,False,-17.089083788912525,2.276306423402231
2015-02-05 00:00:00+00:00,False,-17.41041906760501,2.348687686704088,False,-17.072766716603034,2.6541869315662954,False,-15.43761837200054,2.0510087467238565,False,-16.611343936230465,2.0562260467428706,False,-16.189457967092196,2.277527347312773
2015-02-10 00:00:00+00:00,False,-17.173628977510575,2.349403320636409,False,-17.278582618540966,2.6547515203070997,False,-15.057394407550529,2.0522550142220797,False,-17.097709141467327,2.0571879104896866,False,-16.422243809651572,2.278399435820303
2015-02-17 00:00:00+00:00,False,-17.23074432908011,2.3504052081416593,False,-17.340735195654354,2.6555419445442254,False,-14.803097413924233,2.053999788719593,False,-16.829181888956594,2.0585345197352294,False,-16.671010538911627,2.2796203597308446
2015-02-22 00:00:00+00:00,False,-17.336269304092376,2.351120842073981,False,-17.250278514948516,2.6561065332850298,False,-14.678251163189994,2.055246056217816,False,-16.437524150849004,2.0594963834820454,False,-16.643036207700245,2.2804924482383746
2015-03-01 00:00:00+00:00,False,-17.13669043141676,2.3521227295792313,False,-17.06226635838386,2.656896957522156,False,-14.641713818899046,2.056990830715329,False,-16.420153137950177,2.060842992727588,False,-16.418315065874694,2.2817133721489165
2015-03-06 00:00:00+00:00,False,-16.4094440840792,2.3528383635115526,False,-16.831418385601335,2.6574615462629603,False,-14.652343544602624,2.0582370982135525,False,-16.943777584787757,2.0618048564744047,False,-16.07684136329224,2.282585460656446
2015-03-13 00:00:00+00:00,False,-15.45576601173185,2.353840251016803,False,-16.61111776696399,2.6582519705000864,False,-14.66899850385197,2.0599818727110653,False,-16.852272320777544,2.0631514657199475,False,-15.698609349810146,2.283806384566988
2015-03-25 00:00:00+00:00,False,-14.707841808183387,2.355557772454375,False,-16.4544135505154,2.659606983478017,False,-14.650536860198317,2.062972914706801,False,-15.40444080370406,2.0654599387123063,False,-15.3636132752857,2.2858993969850596
2015-03-30 00:00:00+00:00,True,-14.48521030936142,2.356273406386696,False,-16.398398264260877,2.6601715722188213,False,-14.568598137302853,2.064219182205025,False,-14.32669264491825,2.0664218024591223,False,-15.13581582887589,2.2867714854925896
2015-04-06 00:00:00+00:00,False,-14.656823319669265,2.3572752938919463,False,-16.416338356052567,2.6609619964559474,False,-14.445947299266571,2.0659639567025376,True,-14.031305500335892,2.067768411704665,False,-15.015053456936684,2.2879924094031314
2015-04-11 00:00:00+00:00,False,-14.97898588562915,2.357990927824268,False,-16.465543753704345,2.661526585196752,False,-14.318130670300436,2.0672102242007613,False,-14.415614760852282,2.0687302754514816,True,-14.985131045123786,2.288864497910661
2015-04-18 00:00:00+00:00,True,-15.208003053763308,2.3589928153295183,True,-16.50332438503008,2.662317009433878,False,-14.22069457461539,2.068954998698274,False,-15.37695581736275,2.0700768846970243,False,-15.029853479092889,2.290085421821203
2015-04-23 00:00:00+00:00,False,-15.170171338325781,2.3597084492618396,False,-16.471545275866838,2.6628815981746823,True,-14.189185336422385,2.0702012661964972,False,-15.98481063592165,2.0710387484438404,False,-15.133025644499691,2.2909575103287327
2015-04-30 00:00:00+00:00,False,-14.971753124497857,2.36071033676709,False,-16.25029184414448,2.663672022411808,False,-14.259149279932377,2.07194604069401,False,-15.141676391917846,2.072385357689383,False,-15.278452426999896,2.2921784342392746
2015-05-05 00:00:00+00:00,False,-14.789002265192623,2.3614259706994116,False,-15.704204605816063,2.664236611152613,False,-14.466132729356305,2.0731923081922337,True,-17.901284853711793,2.073347221436199,False,-15.449938712249205,2.2930505227468045
2015-05-12 00:00:00+00:00,False,-14.761486793248228,2.3624278582046614,True,-14.940170190871788,2.6650270353897385,False,-14.823571144703504,2.0749370826897464,False,-16.332944602194974,2.074693830681742,False,-15.632874440382047,2.2942714466573464
2015-05-17 00:00:00+00:00,False,-14.882031461203036,2.363143492136983,False,-15.034059685450512,2.665591624130543,False,-15.256456529176818,2.07618335018797,False,-17.071980994730506,2.0756556944285585,False,-15.818989769447779,2.2951435351648763
